date,open,high,low,close,vwap,vol
1739246400,0.9998,0.9999,0.9997,0.9998,0.9998,1632487.01448381
1739260800,0.9997,0.9999,0.9997,0.9998,0.9998,1764087.34955315
1739275200,0.9998,1.0000,0.9997,0.9999,0.9998,1743648.55666686
1739289600,0.9999,1.0002,0.9999,1.0001,1.0000,2116849.66052997
1739304000,1.0001,1.0002,1.0000,1.0002,1.0000,417102.91830755
1739318400,1.0001,1.0003,1.0001,1.0002,1.0001,2839759.90557131
1739332800,1.0002,1.0003,1.0001,1.0002,1.0002,2884917.23421272
1739347200,1.0001,1.0007,0.9999,0.9999,0.9999,11295533.92333372
1739361600,0.9999,1.0003,0.9951,1.0001,0.9997,10491766.11828905
1739376000,1.0001,1.0001,0.9999,1.0001,1.0000,2374536.30458633
1739390400,1.0000,1.0001,0.9998,1.0000,0.9999,1906023.30305840
1739404800,1.0000,1.0001,0.9997,0.9998,0.9999,2118516.76789142
1739419200,0.9999,1.0000,0.9997,0.9999,0.9998,3784497.26054645
1739433600,0.9999,1.0000,0.9998,0.9999,0.9998,2999942.65070871
1739448000,0.9998,1.0093,0.9998,0.9998,1.0002,4131110.25944433
1739462400,0.9999,1.0000,0.9998,0.9999,0.9998,1120192.33163423
1739476800,0.9999,1.0000,0.9998,0.9998,0.9998,621278.63237941
1739491200,0.9999,0.9999,0.9997,0.9998,0.9998,2404695.62044297
1739505600,0.9998,1.0000,0.9997,0.9997,0.9998,4549220.02899554
1739520000,0.9998,0.9999,0.9896,0.9999,0.9985,7913298.90201486
1739534400,0.9999,0.9999,0.9997,0.9997,0.9998,4948087.36517804
1739548800,0.9997,0.9999,0.9994,0.9994,0.9996,3978496.56792293
1739563200,0.9994,0.9999,0.9994,0.9998,0.9997,1430165.54377290
1739577600,0.9998,0.9999,0.9998,0.9999,0.9998,1044651.09470817
1739592000,0.9998,0.9999,0.9998,0.9998,0.9998,361163.98862829
1739606400,0.9999,0.9999,0.9998,0.9999,0.9998,338846.90447189
1739620800,0.9998,1.0000,0.9998,0.9999,0.9998,980775.01704742
1739635200,0.9998,0.9999,0.9997,0.9998,0.9998,970239.76439094
1739649600,0.9999,0.9999,0.9997,0.9998,0.9998,854511.42613725
1739664000,0.9997,0.9999,0.9997,0.9998,0.9997,682590.19297175
1739678400,0.9999,0.9999,0.9998,0.9998,0.9998,528061.62630841
1739692800,0.9998,1.0000,0.9998,0.9999,0.9998,537837.75742455
1739707200,0.9999,1.0000,0.9998,0.9999,0.9999,1037797.18067609
1739721600,0.9999,1.0000,0.9998,1.0000,0.9999,2036969.63321090
1739736000,0.9999,1.0000,0.9997,0.9999,0.9998,4192048.72561646
1739750400,0.9999,1.0000,0.9998,0.9999,0.9998,456987.23210673
1739764800,0.9999,1.0000,0.9998,1.0000,0.9998,1827629.44191902
1739779200,1.0000,1.0000,0.9996,1.0000,0.9999,5454700.75531019
1739793600,1.0000,1.0000,0.9998,0.9999,0.9999,6089947.91639553
1739808000,0.9999,1.0000,0.9998,0.9999,0.9998,3909339.41424873
1739822400,0.9999,1.0000,0.9998,1.0000,0.9998,2236790.57654556
1739836800,1.0000,1.0003,0.9999,0.9999,0.9999,4988195.23869560
1739851200,0.9998,1.0002,0.9998,1.0000,0.9999,5292418.86779538
1739865600,1.0001,1.0003,0.9999,1.0001,1.0000,6366536.61223524
1739880000,1.0001,1.0002,1.0000,1.0001,1.0001,4385728.85929050
1739894400,1.0001,1.0005,0.9999,1.0005,1.0002,10504333.51632880
1739908800,1.0005,1.0006,1.0003,1.0005,1.0004,1484383.97166836
1739923200,1.0005,1.0005,1.0003,1.0003,1.0003,1406974.70419761
1739937600,1.0003,1.0004,1.0001,1.0001,1.0002,3421098.86613748
1739952000,1.0001,1.0003,1.0000,1.0001,1.0001,8126515.19954212
1739966400,1.0002,1.0003,0.9950,1.0000,0.9996,9732439.42551592
1739980800,1.0001,1.0002,0.9998,1.0001,1.0000,4626742.95665630
1739995200,1.0001,1.0002,1.0000,1.0001,1.0001,2568211.85336057
1740009600,1.0000,1.0001,0.9999,1.0000,1.0000,2817092.00089763
1740024000,1.0001,1.0001,0.9999,1.0000,1.0000,2319820.68110173
1740038400,1.0000,1.0000,0.9998,0.9998,0.9999,916195.79027441
1740052800,0.9999,1.0000,0.9996,0.9998,0.9998,5186521.40551055
1740067200,0.9998,0.9998,0.9996,0.9996,0.9997,1904341.32835865
1740081600,0.9996,0.9997,0.9993,0.9996,0.9995,1152278.00106768
1740096000,0.9996,0.9998,0.9996,0.9998,0.9997,1819945.41045606
1740110400,0.9998,0.9998,0.9996,0.9997,0.9997,3134456.31992365
1740124800,0.9997,0.9998,0.9995,0.9997,0.9996,1178920.28784605
1740139200,0.9997,1.0000,0.9950,0.9996,0.9994,10348281.75259296
1740153600,0.9997,1.0002,0.9996,1.0001,0.9999,7574614.96204312
1740168000,1.0002,1.0009,1.0002,1.0004,1.0006,3101398.02290302
1740182400,1.0004,1.0004,1.0000,1.0001,1.0001,468367.96250263
1740196800,1.0000,1.0001,1.0000,1.0000,1.0000,486188.41100496
1740211200,1.0001,1.0003,1.0001,1.0002,1.0001,1083010.50913258
1740225600,1.0002,1.0002,0.9999,1.0000,1.0000,1062618.32859300
1740240000,1.0000,1.0001,0.9999,1.0001,1.0000,1537459.59157538
1740254400,1.0000,1.0001,0.9999,1.0000,0.9999,1658710.36450071
1740268800,0.9999,0.9999,0.9997,0.9998,0.9998,363252.27976027
1740283200,0.9998,0.9999,0.9997,0.9998,0.9997,464536.97485682
1740297600,0.9998,0.9999,0.9997,0.9998,0.9997,290663.23137762
1740312000,0.9998,1.0000,0.9998,0.9999,0.9998,1107550.48302464
1740326400,0.9998,0.9999,0.9998,0.9998,0.9998,799375.03225372
1740340800,0.9998,1.0000,0.9998,0.9999,0.9998,537733.61311328
1740355200,0.9999,1.0000,0.9997,1.0000,0.9998,3903874.96816509
1740369600,1.0001,1.0001,0.9997,0.9998,0.9999,2229819.31587175
1740384000,0.9998,0.9999,0.9996,0.9998,0.9998,1491200.97629023
1740398400,0.9998,1.0000,0.9998,1.0000,0.9998,8748422.46392257
1740412800,1.0000,1.0001,0.9998,0.9999,0.9999,4519093.50120244
1740427200,0.9999,1.0004,0.9998,1.0001,1.0001,5561578.68722458
1740441600,1.0000,1.0002,1.0000,1.0001,1.0000,1315196.08698917
1740456000,1.0000,1.0002,0.9998,0.9999,1.0000,7740172.06114519
1740470400,0.9999,1.0006,0.9999,1.0005,1.0003,4231353.90781375
1740484800,1.0004,1.0012,1.0001,1.0010,1.0004,11851536.16838916
